Heart 96.1,
Heart 96.2/97.3,
Heart 96.3,
Heart 96.3/102.6,
Heart 96.4FM,
Heart 96.5/97.1/102.6,
Heart 96.6/97FM,
Heart 96.7/97.5,
Heart 97.1,
Heart 97.1/96.4,
Heart 97/103FM,
Heart Anglesey and Gwynedd,
Heart Berkshire and North Hampshire,
Heart Gloucestershire,
Heart Home Counties,
Heart Kent,
Heart London,
Heart Sussex,
Heart West Midlands,
Heart Wiltshire,
Heartland,
Heat,
Hiro - Premium,
History,
History +1,
History HD,
Holiday,
HOME,
Home +1,
Hope FM,
Horse And Country,Horse & Country TV
Hulu,
Imagine FM,
Inter TV,
Investigation Discovery,
iPlayer,
Ipswich Community Radio,
Iris,
Island FM,
Isle of Wight Radio,
Isles FM,
Italia 8 AL,
Italia 8 MI,
Italia 8 Prestige,
Italia Mia,
Italia TV,
Italia1,
Italia1 +1,
Italia1 HD,
ITV1 +1,
ITV1 Anglia,
ITV1 Border North,
ITV1 Border South,
ITV1 Carlton-Central,
ITV1 Carlton-Westcountry,
ITV1 Central +1,
ITV1 Channel,
ITV1 Granada,
ITV1 Granada +1,
ITV1 HD,
ITV1 London,
ITV1 London +1,
ITV1 Meridian,
ITV1 South East +1,
ITV1 Thames Valley North,
ITV1 Thames Valley South,
ITV1 Tyne Tees,
ITV1 UTV +1,
ITV1 Wales,
ITV1 West,
ITV1 West +1,
ITV1 Yorkshire Tyne Tees +1,
ITV2,
ITV2 +1,
ITV2 HD,
ITV3,
ITV3 +1,
ITV3 HD,
ITV4,
ITV4 +1,
ITV4 HD,
Jack FM,
Jazz FM,
Joi - Premium,
Joi+1 - Premium,
Juice 107.2,
K2,
KCFM,
KERRANG,
Kerrang!,
Key 103,
KFM,
Kingdom FM,
Kingstown,
KISS,Kiss
Kiss 101,
Kiss 105-108,
KLFM,
KMFM 105.6,
KMFM 106,
KMFM 107.2,
KMFM 107.6,
KMFM 107.9/100.4,
KMFM 96.2/101.6,
KMFM 96.4/106.8,
La5,
La6,
La7,
La7 HD,
La7 News On Demand,
La7 On Demand,
La7 Servizi On Demand,
La7D,
La7D On Demand,
LBC 97.3,
LBC News 1152,
Leith,
Life FM 93.1,
Lincs FM,
Live 95,
LIVING,
Living +1,
Living +2,
Living HD,
LIVINGIT,
Livingit +1,
LM FM Radio,
Lochbroom FM,
Lombardia Channel,
Lombardia DTT,
M95 TV Marbella,
MAGIC,
Magic,
Magic 105.4,Magic 105.4 FM
Magic 1152 (Manchester),
Magic 1152 AM,
Magic 1170,
Magic 1548,
Magic 828,
Magic 999,
Magic AM,
Magic Digital,
Mansfield 103.2,
Media Shopping,
Mediaset Extra,
Mercia FM,
Metro,
MGM,
Mgm HD,
Mia TV,
Midwest Radio,
Milano 2015,
MILANOW,
Military History,
Minster FM,
Moray Firth Radio FM,
Moray Firth Radio MW,
More 4,More4
More4 +1,
Motori TV,
Motors TV,
Movies24,
Movies24+,
MOVIES4MEN,Movies4Men
MOVIES4Men +1,Movies4Men +1
MOVIES4MEN2,Movies4Men 2
MOVIES4MEN2 +1,Movies4Men 2 +1
MTV,
MTV,
MTV +1,
MTV Base,
MTV Classic,
MTV Dance,
MTV HD,
MTV Hits,
MTV Music,
MTV Music On Demand,
MTV News On Demand,
MTV On Demand,
MTV Rocks,
MTV Shows,
MTV+,
MTV+ On Demand,
MTVn HD,
MUTV,
Mya - Premium,
Mya+1 - Premium,
Nat Geo Wild,
Nat Geo Wild HD,
National Geographic,
National Geographic +1,
National Geographic HD,
National Geographic HD Pan European,
NECR 102.1FM,
Nene Valley,
Nevis Radio,
Newport City Radio,
Newstalk 106-108 FM,Newstalk
NHK World,NHK World HD
Nick Jr,
Nick Jr 2,
Nickelodeon,
Nickelodeon Replay,
Nicktoons Replay,
Nicktoons TV,
Nitegate Attivazione,
NME Radio,
North Norfolk Radio,
Northsound One,
Northsound Two,
Notturno Italiano,
Odeon 24,
Onda Cero Marbella,
Palermo Channel TV,
PBS,
Peak 107FM,
Phoenix Cne,
Pick TV,
Pick TV +1,
Pirate FM,
Più Blu Lombardia TeleMilano,
Più Servizi,
Planet Rock,
Playboy TV,
Playhouse Disney,
Playhouse Disney - Premium,
Playhouse Disney Plus,
