SID,IDENT,PYEPG,NAME,FSAT NUM,SKY NUM,HD,REGIONAL,RADIO,ICON
10160,ITV1 Yorks W,tv_itv1_yorkshire_west,ITV1 Yorkshire West,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_yorkshire_west.jpg
10165,ITV2+1,tv_itv2+1,ITV2 +1,114,179,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv2_plus1.jpg
10169,G53,,G53,0,0,0,0,0,
10200,ITV Channel Is,tv_itv1_channel_television,ITV1 Channel Television,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1.jpg
10210,stv,tv_stv,STV,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/stv_north.jpg
10220,STV,tv_stv,STV,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/stv_west.jpg
10221,stv,tv_stv,STV,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/stv_east.jpg
10225,10225,tv_stv_west+1,STV West +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/stv_west_plus1.jpg
10230,UTV,tv_utv,UTV,0,0,0,0,0,
10238,TalkSport,radio_talksport,Talksport,731,1108,0,0,1,http://www.lyngsat-logo.com/logo/radio/tt/talksport.jpg
10255,ITV1+1,tv_itv1_granada+1,ITV1 Granada +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_granada_plus1.jpg
10260,ITV3,tv_itv3,ITV3,115,119,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv3.jpg
10261,ITV3+1,tv_itv3+1,ITV3 +1,116,180,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv3_plus1.jpg
10265,ITV1+1,tv_itv1_meridian+1,ITV1 Meridian +1,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_meridian_south_plus1.jpg
10301,BBC 1 W Mids,tv_bbc_one_west_midlands,BBC One West Midlands,963,979,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_west_midlands.jpg
10303,BBC 1 Yrks&Lin,tv_bbc_one_yorks_and_lincs,BBC One Yorks & Lincs,967,977,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_yorkshire_north_midlands.jpg
10305,BBC 1 E Mids,tv_bbc_one_east_midlands,BBC One East Midlands,952,980,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_east_midlands.jpg
10306,BBC 1 East (E),tv_bbc_one_east,BBC One East,953,981,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_east_east.jpg
10307,BBC PARL'MNT,tv_bbc_parliament,BBC Parliament,201,504,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_parliament.jpg
10311,BBC 1 Wales,tv_bbc_one_wales,BBC One Wales,964,972,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_wales.jpg
10312,BBC 2 Wales,tv_bbc_two_wales,BBC Two Wales,971,991,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc2_wales.jpg
10353,BBC 1 South,tv_bbc_one_south,BBC One South,961,984,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_south.jpg
10354,BBC 1 S West,tv_bbc_one_south_west,BBC One South West,962,987,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_south_west.jpg
10355,BBC 1 NE & C,tv_bbc_one_north_east_and_cumbria,BBC One North East & Cumbria,956,975,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_north_east_cumbria.jpg
10356,BBC 1 Oxford,tv_bbc_one_oxford,BBC One Oxford,958,985,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_oxford.jpg
10357,BBC ALBA,tv_bbc_alba,BBC Alba,110,168,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_alba.jpg
10361,BBC 1 NI,tv_bbc_one_northern_ireland,BBC One Northern Ireland,957,973,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc_one_northern_ireland.jpg
10362,BBC 2 NI,tv_bbc_two_northern_ireland,BBC Two Northern Ireland,969,992,0,0,0,http://www.lyngsat-logo.com/logo/tv/bb/bbc2_northern_ireland.jpg
10530,Freesat Info,tv_freesat_info,Freesat Info,0,0,0,0,0,
12150,ITVi Quad,interactive_itvi_quad,,0,0,0,0,0,
20700,ITV1 Central S,tv_itv1_central,ITV1 Central,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_central_south.jpg
20701,ITV1 Central E,tv_itv1_central,ITV1 Central,0,0,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_central_east.jpg
20715,ITV1+1,,,0,0,0,0,0,
20735,ITV1+1,,,0,0,0,0,0,
20745,ITV1+1,,,0,0,0,0,0,
20780,7480,tv_itv1_london_hd,ITV1 London HD,0,0,1,0,0,http://www.lyngsat-logo.com/logo/tv/ii/itv1_london_hd.jpg
21200,Channel 4 HD,tv_channel_4_hd,Channel 4 HD,126,140,1,0,0,http://www.lyngsat-logo.com/logo/tv/cc/channel4_hd.jpg
50330,Storm,tv_storm,Storm,0,966,0,0,0,http://www.lyngsat-logo.com/icon/tv/ss/storm_tv.gif
50335,Islam Channel,tv_islam_channel,Islam Channel,693,813,0,0,0,http://www.lyngsat-logo.com/logo/tv/ii/islam_channel.jpg
50340,Jewellery Ch.,tv_jewellery_channel,Jewellery Channel,815,650,0,0,0,http://www.lyngsat-logo.com/logo/tv/jj/jewelry_channel_th.jpg
50355,CNC World,tv_cnc_world,CNC World,0,516,0,0,0,http://www.lyngsat-logo.com/logo/tv/cc/cnc_world_chinese.jpg
50400,Paversshoes.tv,tv_paversshoes_tv,PaversShoes.tv,0,659,0,0,0,
50425,V Channel,tv_v_channel,V Channel,0,664,0,0,0,http://www.lyngsat-logo.com/logo/tv/vv/v_channel_uk.jpg
50470,Zing,tv_zing,Zing,509,789,0,0,0,http://www.lyngsat-logo.com/logo/tv/zz/zee_zing.jpg
50485,GayXchange,tv_gayxchange,GayXchange,0,876,0,0,0,
50490,Dating Channel,tv_dating_channel,Dating Channel,0,875,0,0,0,http://www.lyngsat-logo.com/logo/tv/dd/dating_channel.jpg
50605,Elite TV 3,tv_elite_tv_3,Elite TV 3,0,968,0,0,0,http://www.lyngsat-logo.com/icon/tv/ee/elite_tv_968.gif
50610,Sikh Channel,tv_sikh_channel,Sikh Channel,0,840,0,0,0,http://www.lyngsat-logo.com/logo/tv/ss/sikh_channel.jpg
50615,Elite TV 4,tv_elite_tv_4,Elite TV 4,0,932,0,0,0,http://www.lyngsat-logo.com/icon/tv/ee/elite_tv_932.gif
