tv_bbc_three,cbbP,http://www.bbc.co.uk/services/bbcthree,bbc.co.uk
tv_bbc_four,cbbQ,http://www.bbc.co.uk/services/bbcfour,bbc.co.uk
tv_bbc_news,cbbR,http://www.bbc.co.uk/services/bbcnews,bbc.co.uk
tv_bbc_world_news,cbbS,http://www.bbc.co.uk/services/bbcworldnews,bbc.co.uk
tv_bbc_parliament,cbbT,http://www.bbc.co.uk/services/parliament,bbc.co.uk
tv_bbc_hd,cbbV,http://www.bbc.co.uk/services/bbchd,bbc.co.uk
tv_cbbc,cbbW,http://www.bbc.co.uk/services/cbbc,bbc.co.uk
tv_cbeebies,cbbX,http://www.bbc.co.uk/services/cbeebies,bbc.co.uk
radio_bbc_radio_london,cbbZ,http://www.bbc.co.uk/services/london,bbc.co.uk
radio_bbc_radio_berkshire,cbbY,http://www.bbc.co.uk/services/berkshire,bbc.co.uk
radio_bbc_radio_bristol,cbb2,http://www.bbc.co.uk/services/bristol,bbc.co.uk
radio_bbc_radio_cambridgeshire,cbb4,http://www.bbc.co.uk/services/cambridgeshire,bbc.co.uk
radio_bbc_radio_cornwall,cbb5,http://www.bbc.co.uk/services/cornwall,bbc.co.uk
radio_bbc_radio_coventry,cbb6,http://www.bbc.co.uk/services/coventry,bbc.co.uk
radio_bbc_radio_cumbria,cbb7,http://www.bbc.co.uk/services/cumbria,bbc.co.uk
radio_bbc_radio_derby,cbb8,http://www.bbc.co.uk/services/derby,bbc.co.uk
radio_bbc_radio_devon,cbb9,http://www.bbc.co.uk/services/devon,bbc.co.uk
radio_bbc_radio_essex,cbcb,http://www.bbc.co.uk/services/essex,bbc.co.uk
radio_bbc_radio_gloucestershire,cbcc,http://www.bbc.co.uk/services/gloucestershire,bbc.co.uk
radio_bbc_radio_guernsey,cbcd,http://www.bbc.co.uk/services/guernsey,bbc.co.uk
radio_bbc_radio_herefordandworcester,cbcf,http://www.bbc.co.uk/services/herefordandworcester,bbc.co.uk
radio_bbc_radio_humberside,cbcg,http://www.bbc.co.uk/services/humberside,bbc.co.uk
radio_bbc_radio_jersey,cbch,http://www.bbc.co.uk/services/jersey,bbc.co.uk
radio_bbc_radio_kent,cbcj,http://www.bbc.co.uk/services/kent,bbc.co.uk
radio_bbc_radio_lancashire,cbck,http://www.bbc.co.uk/services/lancashire,bbc.co.uk
radio_bbc_radio_leeds,cbcm,http://www.bbc.co.uk/services/leeds,bbc.co.uk
radio_bbc_radio_leicester,cbcn,http://www.bbc.co.uk/services/leicester,bbc.co.uk
radio_bbc_radio_lincolnshire,cbcp,http://www.bbc.co.uk/services/lincolnshire,bbc.co.uk
radio_bbc_radio_manchester,cbcq,http://www.bbc.co.uk/services/manchester,bbc.co.uk
radio_bbc_radio_merseyside,cbcr,http://www.bbc.co.uk/services/merseyside,bbc.co.uk
radio_bbc_radio_newcastle,cbcs,http://www.bbc.co.uk/services/newcastle,bbc.co.uk
radio_bbc_radio_norfolk,cbct,http://www.bbc.co.uk/services/norfolk,bbc.co.uk
radio_bbc_radio_northampton,cbcv,http://www.bbc.co.uk/services/northampton,bbc.co.uk
radio_bbc_radio_nottingham,cbcw,http://www.bbc.co.uk/services/nottingham,bbc.co.uk
radio_bbc_radio_oxford,cbcx,http://www.bbc.co.uk/services/oxford,bbc.co.uk
radio_bbc_radio_sheffield,cbcy,http://www.bbc.co.uk/services/sheffield,bbc.co.uk
radio_bbc_radio_shropshire,cbcz,http://www.bbc.co.uk/services/shropshire,bbc.co.uk
radio_bbc_radio_solent,cbcB,http://www.bbc.co.uk/services/solent,bbc.co.uk
radio_bbc_radio_somerset,cbcC,http://www.bbc.co.uk/services/somerset,bbc.co.uk
radio_bbc_radio_stoke,cbcD,http://www.bbc.co.uk/services/stoke,bbc.co.uk
radio_bbc_radio_suffolk,cbcF,http://www.bbc.co.uk/services/suffolk,bbc.co.uk
radio_bbc_radio_surrey,cbcG,http://www.bbc.co.uk/services/surrey,bbc.co.uk
radio_bbc_radio_sussex,cbcH,http://www.bbc.co.uk/services/sussex,bbc.co.uk
radio_bbc_radio_wiltshire,cbcJ,http://www.bbc.co.uk/services/wiltshire,bbc.co.uk
